depth;name;parent_code_kemendagri;code_kemendagri
4;BATU MBULAN SEPAKAT;11.02.04;11.02.04.2024
4;PULO SANGGAKH;11.02.04;11.02.04.2025
4;MELAYU I;11.02.04;11.02.04.2026
4;MBARUNG DATUK SAUDANE;11.02.04;11.02.04.2027
3;BADAR;11.02;11.02.05
4;SALANG ALAS;11.02.05;11.02.05.2005
4;KUTA PASIR;11.02.05;11.02.05.2009
4;PURWODADI;11.02.05;11.02.05.2011
4;KUTA TINGGI;11.02.05;11.02.05.2012
4;KAMPUNG BARU;11.02.05;11.02.05.2013
4;PERANGINAN;11.02.05;11.02.05.2014
4;NATAM;11.02.05;11.02.05.2015
4;KUMBANG JAYA;11.02.05;11.02.05.2025
4;KUMBANG INDAH;11.02.05;11.02.05.2026
4;NATAM BARU;11.02.05;11.02.05.2027
4;DELENG MEGAKHE;11.02.05;11.02.05.2029
4;LAWE BEKUNG;11.02.05;11.02.05.2030
4;LAWE BEKUNG TAMPAHAN;11.02.05;11.02.05.2031
4;BADAR INDAH;11.02.05;11.02.05.2032
4;BATU MBEKHONG;11.02.05;11.02.05.2033
4;TANAH MERAH;11.02.05;11.02.05.2034
4;TANOH MEGAKHE;11.02.05;11.02.05.2035
4;LAWE SEKERAH;11.02.05;11.02.05.2036
3;BABUL MAKMUR;11.02;11.02.06
4;PARDOMUAN  II;11.02.06;11.02.06.2001
4;LAWE DESKY I;11.02.06;11.02.06.2002
4;LAWE DESKY SABAS;11.02.06;11.02.06.2003
4;PARDOMUAN  I;11.02.06;11.02.06.2004
4;CINTA DAMAI;11.02.06;11.02.06.2005
4;PARDAMEAN;11.02.06;11.02.06.2006
4;LAWE DESKY TONGAH;11.02.06;11.02.06.2007
4;KUTE BAKTI;11.02.06;11.02.06.2008
4;MUARA SITULEN;11.02.06;11.02.06.2010
4;SEJAHTERA;11.02.06;11.02.06.2011
4;KUTE MAKMUR;11.02.06;11.02.06.2012
4;PARDAMEAN;11.02.06;11.02.06.2013
4;LAWE MANTIK;11.02.06;11.02.06.2014
4;CINTA MAKMUR;11.02.06;11.02.06.2015
4;MUARA SETIA;11.02.06;11.02.06.2016
4;TANOH ALAS;11.02.06;11.02.06.2017
4;SEJAHTERA BARU;11.02.06;11.02.06.2018
4;LAWE TAWAKH;11.02.06;11.02.06.2024
4;SABILUSSALAM;11.02.06;11.02.06.2025
4;LAWE DESKY JAYA;11.02.06;11.02.06.2026
4;PINTU ALAS;11.02.06;11.02.06.2027
3;DARUL HASANAH;11.02;11.02.07
4;GULO;11.02.07;11.02.07.2001
4;PULO PIKU;11.02.07;11.02.07.2002
4;TERUTUNG KUTE;11.02.07;11.02.07.2003
4;KUTE UJUNG;11.02.07;11.02.07.2004
4;LAWE STUL;11.02.07;11.02.07.2005
4;KITE MERANGUN;11.02.07;11.02.07.2006
4;MAMAS;11.02.07;11.02.07.2007
4;TANJUNG LAMA;11.02.07;11.02.07.2008
4;TANJUNG MUDA;11.02.07;11.02.07.2009
4;RAMBUNG TELDAK;11.02.07;11.02.07.2010
4;TANJUNG AMAN;11.02.07;11.02.07.2011
4;SRI MUDA;11.02.07;11.02.07.2012
4;UJUNG BARU;11.02.07;11.02.07.2013
4;KUTE RAMBE;11.02.07;11.02.07.2014
4;MAMAS BARU;11.02.07;11.02.07.2015
4;RAMBUNG JAYA;11.02.07;11.02.07.2016
4;MAKMUR JAYA;11.02.07;11.02.07.2017
4;DARUL MAKMUR;11.02.07;11.02.07.2018
4;TANJUNG BAKHU;11.02.07;11.02.07.2019
4;PULO GABUNG;11.02.07;11.02.07.2020
4;KOKHTAN JAYA;11.02.07;11.02.07.2021
4;ISTIQAMAH;11.02.07;11.02.07.2022
4;LAWE MAMAS INDAH;11.02.07;11.02.07.2023
4;TANJUNG LEUSER;11.02.07;11.02.07.2024
4;SIMPANG IV TANJUNG;11.02.07;11.02.07.2025
4;LAWE PINIS;11.02.07;11.02.07.2026
4;BUNTUL KENDAWI;11.02.07;11.02.07.2027
4;KUNING ABADI;11.02.07;11.02.07.2028
3;LAWE BULAN;11.02;11.02.08
4;PASIR GALA;11.02.08;11.02.08.2001
4;PASIR PENJENGAKAN;11.02.08;11.02.08.2002
4;KUTAMBARU;11.02.08;11.02.08.2003
4;LAWE SAGU HULU;11.02.08;11.02.08.2004
4;LAWE SAGU HILIR;11.02.08;11.02.08.2005
4;KUTE BANTIL;11.02.08;11.02.08.2006
4;LAWE KOLOK;11.02.08;11.02.08.2011
4;LAWE RUTUNG;11.02.08;11.02.08.2012
4;KAMPUNG NANGKA;11.02.08;11.02.08.2013
4;TENEMBAK  JUHAR;11.02.08;11.02.08.2014
4;SIMPANG EMPAT;11.02.08;11.02.08.2015
4;KUTA BULUH BOTONG;11.02.08;11.02.08.2016
4;KATAMBARU  BECAWAN;11.02.08;11.02.08.2017
4;LAWE KINGE;11.02.08;11.02.08.2018
4;KANDANG MBELANG MANDIRI;11.02.08;11.02.08.2019
4;MBACANG RACUN;11.02.08;11.02.08.2020
4;TELAGA MEKAR;11.02.08;11.02.08.2021
4;PULONAS BARU;11.02.08;11.02.08.2023
4;KUTA GENTING;11.02.08;11.02.08.2025
4;LAWE SAGU BARU;11.02.08;11.02.08.2026
4;LAWE SAGU;11.02.08;11.02.08.2027
4;PEKHAPET TIMUR;11.02.08;11.02.08.2028
4;BAHAGIA;11.02.08;11.02.08.2029
4;KUTE GALUH ASLI;11.02.08;11.02.08.2030
3;BUKIT TUSAM;11.02;11.02.09
4;KUTE LENGAT PANGAN;11.02.09;11.02.09.2001
4;KUTE LENGAT SELIAN;11.02.09;11.02.09.2002
4;TUALANG BARU;11.02.09;11.02.09.2003
4;ALUR BULUH;11.02.09;11.02.09.2004
4;MAHA SINGKIL;11.02.09;11.02.09.2005
4;TENEMBAK  BINTANG;11.02.09;11.02.09.2006
4;KUTE LINGGA;11.02.09;11.02.09.2007
